mutation_id,title,rc,mutation_target,mutation_operator,operator_work_units,operator_success_oracle,discrepancy_type,preconditions,chain_role,impact_primary,impact_secondary,primary_controls,evidence_refs,detection_signals,test_recipe,confidence,status
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.RCE.001,ssti -> cmd_injection via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from ssti to cmd_injection,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,RCE,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: ssti->cmd_injection,Replay edge pattern 'escalation' from source 'ssti' to destination 'cmd_injection',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.DATA_EXFILTRATION.001,ssti -> path_traversal via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from ssti to path_traversal,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,DATA_EXFILTRATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: ssti->path_traversal,Replay edge pattern 'escalation' from source 'ssti' to destination 'path_traversal',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.DATA_EXFILTRATION.001,proto_pollution -> xss via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from proto_pollution to xss,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,DATA_EXFILTRATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: proto_pollution->xss,Replay edge pattern 'escalation' from source 'proto_pollution' to destination 'xss',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.RCE.001,proto_pollution -> ssti via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from proto_pollution to ssti,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,RCE,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: proto_pollution->ssti,Replay edge pattern 'escalation' from source 'proto_pollution' to destination 'ssti',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.RCE.002,proto_pollution -> cmd_injection via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from proto_pollution to cmd_injection,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,RCE,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: proto_pollution->cmd_injection,Replay edge pattern 'escalation' from source 'proto_pollution' to destination 'cmd_injection',MEDIUM,DRAFT
RC1.PARAMETER.ORDER_MANIPULATION.ATO.001,proto_pollution -> jwt via trust,RC1,PARAMETER,ORDER_MANIPULATION,REORDER|INJECT|OBSERVE|VALIDATE,Operator effect observed through trust differential from proto_pollution to jwt,TRUST_BOUNDARY_BREAK,CROSS_COMPONENT_TRUST,PIVOT,ATO,,CONTROL_PLANE_HARDENING|REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: proto_pollution->jwt,Replay edge pattern 'trust' from source 'proto_pollution' to destination 'jwt',MEDIUM,DRAFT
RC1.PARAMETER.ORDER_MANIPULATION.DATA_EXFILTRATION.001,proto_pollution -> cache_poisoning via trust,RC1,PARAMETER,ORDER_MANIPULATION,REORDER|INJECT|OBSERVE|VALIDATE,Operator effect observed through trust differential from proto_pollution to cache_poisoning,TRUST_BOUNDARY_BREAK,CROSS_COMPONENT_TRUST,PIVOT,DATA_EXFILTRATION,,CONTROL_PLANE_HARDENING|REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: proto_pollution->cache_poisoning,Replay edge pattern 'trust' from source 'proto_pollution' to destination 'cache_poisoning',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.SSRF_INTERNAL_ACCESS.001,xxe -> ssrf via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from xxe to ssrf,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,SSRF_INTERNAL_ACCESS,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: xxe->ssrf,Replay edge pattern 'escalation' from source 'xxe' to destination 'ssrf',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.ATO.001,sqli -> account_takeover via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from sqli to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: sqli->account_takeover,Replay edge pattern 'escalation' from source 'sqli' to destination 'account_takeover',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.PRIVILEGE_ESCALATION.001,graphql -> mass_assignment via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from graphql to mass_assignment,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,ENTRY,PRIVILEGE_ESCALATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: graphql->mass_assignment,Replay edge pattern 'escalation' from source 'graphql' to destination 'mass_assignment',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.DATA_EXFILTRATION.003,graphql -> idor via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from graphql to idor,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,ENTRY,DATA_EXFILTRATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: graphql->idor,Replay edge pattern 'escalation' from source 'graphql' to destination 'idor',MEDIUM,DRAFT
RC1.PARAMETER.CONTEXT_SWITCH.SSRF_INTERNAL_ACCESS.001,graphql -> ssrf via escalation,RC1,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from graphql to ssrf,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,SSRF_INTERNAL_ACCESS,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: graphql->ssrf,Replay edge pattern 'escalation' from source 'graphql' to destination 'ssrf',MEDIUM,DRAFT
RC1.PAYLOAD_BODY.CONTEXT_SWITCH.DATA_EXFILTRATION.004,ssi_esi -> xss via escalation,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from ssi_esi to xss,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,ENTRY,DATA_EXFILTRATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: ssi_esi->xss,Replay edge pattern 'escalation' from source 'ssi_esi' to destination 'xss',MEDIUM,DRAFT
RC3.TOKEN.CONTEXT_SWITCH.ATO.001,oauth -> account_takeover via escalation,RC3,TOKEN,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from oauth to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: oauth->account_takeover,Replay edge pattern 'escalation' from source 'oauth' to destination 'account_takeover',MEDIUM,DRAFT
RC3.TOKEN.CONTEXT_SWITCH.SSRF_INTERNAL_ACCESS.001,oauth -> ssrf via escalation,RC3,TOKEN,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from oauth to ssrf,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,SSRF_INTERNAL_ACCESS,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: oauth->ssrf,Replay edge pattern 'escalation' from source 'oauth' to destination 'ssrf',MEDIUM,DRAFT
RC3.TOKEN.CONTEXT_SWITCH.ATO.002,oauth -> open_redirect via escalation,RC3,TOKEN,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from oauth to open_redirect,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: oauth->open_redirect,Replay edge pattern 'escalation' from source 'oauth' to destination 'open_redirect',MEDIUM,DRAFT
RC3.TOKEN.CONTEXT_SWITCH.DATA_EXFILTRATION.001,saml -> xxe via escalation,RC3,TOKEN,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from saml to xxe,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,DATA_EXFILTRATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: saml->xxe,Replay edge pattern 'escalation' from source 'saml' to destination 'xxe',MEDIUM,DRAFT
RC5.STATE_TRANSITION.CONTEXT_SWITCH.ATO.001,csrf -> oauth via escalation,RC5,STATE_TRANSITION,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from csrf to oauth,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: csrf->oauth,Replay edge pattern 'escalation' from source 'csrf' to destination 'oauth',MEDIUM,DRAFT
RC5.STATE_TRANSITION.CONTEXT_SWITCH.ATO.002,csrf -> account_takeover via escalation,RC5,STATE_TRANSITION,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from csrf to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: csrf->account_takeover,Replay edge pattern 'escalation' from source 'csrf' to destination 'account_takeover',MEDIUM,DRAFT
RC4.HEADER.CONTEXT_SWITCH.PRIVILEGE_ESCALATION.001,cors -> csrf via escalation,RC4,HEADER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from cors to csrf,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,PRIVILEGE_ESCALATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: cors->csrf,Replay edge pattern 'escalation' from source 'cors' to destination 'csrf',MEDIUM,DRAFT
RC4.HEADER.CONTEXT_SWITCH.ATO.001,cors -> account_takeover via escalation,RC4,HEADER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from cors to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: cors->account_takeover,Replay edge pattern 'escalation' from source 'cors' to destination 'account_takeover',MEDIUM,DRAFT
RC4.PARAMETER.CONTEXT_SWITCH.ATO.001,mass_assignment -> account_takeover via escalation,RC4,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from mass_assignment to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: mass_assignment->account_takeover,Replay edge pattern 'escalation' from source 'mass_assignment' to destination 'account_takeover',MEDIUM,DRAFT
RC4.PARAMETER.CONTEXT_SWITCH.RCE.001,mass_assignment -> proto_pollution via escalation,RC4,PARAMETER,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from mass_assignment to proto_pollution,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,RCE,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: mass_assignment->proto_pollution,Replay edge pattern 'escalation' from source 'mass_assignment' to destination 'proto_pollution',MEDIUM,DRAFT
RC9.COOKIE.ORDER_MANIPULATION.PRIVILEGE_ESCALATION.001,cookie -> csrf via trust,RC9,COOKIE,ORDER_MANIPULATION,REORDER|INJECT|OBSERVE|VALIDATE,Operator effect observed through trust differential from cookie to csrf,TRUST_BOUNDARY_BREAK,CROSS_COMPONENT_TRUST,PIVOT,PRIVILEGE_ESCALATION,,CONTROL_PLANE_HARDENING|REFERENCE_ALLOWLIST_AND_RESOLUTION_CHECK,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: cookie->csrf,Replay edge pattern 'trust' from source 'cookie' to destination 'csrf',MEDIUM,DRAFT
RC9.COOKIE.CONTEXT_SWITCH.DATA_EXFILTRATION.001,cookie -> xss via escalation,RC9,COOKIE,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from cookie to xss,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,PIVOT,DATA_EXFILTRATION,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: cookie->xss,Replay edge pattern 'escalation' from source 'cookie' to destination 'xss',MEDIUM,DRAFT
RC9.COOKIE.CONTEXT_SWITCH.ATO.001,cookie -> account_takeover via escalation,RC9,COOKIE,CONTEXT_SWITCH,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through escalation differential from cookie to account_takeover,VALIDATION_GAP,MISSING_STRICT_AUTH_VALIDATION,SINK,ATO,,DATA_LAYER_AUTHZ_ENFORCEMENT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: cookie->account_takeover,Replay edge pattern 'escalation' from source 'cookie' to destination 'account_takeover',MEDIUM,DRAFT
RC2.HEADER.CANONICALIZATION_BYPASS.RCE.001,smuggling -> file_upload via parser,RC2,HEADER,CANONICALIZATION_BYPASS,TRANSFORM|INJECT|OBSERVE|VALIDATE,Operator effect observed through parser differential from smuggling to file_upload,PARSER_DIFFERENTIAL,MULTI_PARSER_PIPELINE|AMBIGUOUS_INPUT_ACCEPTED,ENTRY,RCE,,SINGLE_AUTHORITATIVE_PARSER|REJECT_AMBIGUOUS_INPUT,the-map/artifact-examples/cross-mutation-graph.html,Cross-mutation transition observed: smuggling->file_upload,Replay edge pattern 'parser' from source 'smuggling' to destination 'file_upload',MEDIUM,DRAFT
